carrier_id;bukrs;valid_from;account_ref;currency;active
NZPOST;1000;2026-01-01;PLACEHOLDER-NZPOST-1000;NZD;false
POSTHASTE;1000;2026-01-01;PLACEHOLDER-POSTHASTE-1000;NZD;false
AUSPOST;2000;2026-01-01;PLACEHOLDER-AUSPOST-2000;AUD;false
FEDEX;2000;2026-01-01;PLACEHOLDER-FEDEX-2000;AUD;false
FEDEX;3000;2026-01-01;PLACEHOLDER-FEDEX-3000;USD;false
FEDEX;4000;2026-01-01;PLACEHOLDER-FEDEX-4000;CAD;false
UPS;2000;2026-01-01;PLACEHOLDER-UPS-2000;AUD;false
UPS;3000;2026-01-01;PLACEHOLDER-UPS-3000;USD;false
UPS;4000;2026-01-01;PLACEHOLDER-UPS-4000;CAD;false
CANPOST;4000;2026-01-01;PLACEHOLDER-CANPOST-4000;CAD;false
